index,url,Muscle,Video,Main Muscle Group,Detailed Muscle Group,Type,Mechanics,Equipment,Difficulty
561,https://www.jefit.com/exercises/29/Dumbbell-One-Arm-Front-Raise,https://www.jefit.com/images/exercises/b6.jpg,http://player.vimeo.com/external/160273511.sd.mp4?s=998accaa78441bb4b7ac3235a5d5a8dd178c37ef&profile_id=165&oauth2_token_id=435967617,Shoulders,,Strength,Compound,Dumbbell,Beginner
562,https://www.jefit.com/exercises/1328/Dumbbell-One-Arm-Front-Raise,https://www.jefit.com/images/exercises/b6.jpg,http://player.vimeo.com/external/160307414.sd.mp4?s=2378160244388f6a6b43e7ce0cce5bf0e1afbcfd&profile_id=164&oauth2_token_id=435967617,Shoulders,,Strength,Isolation,Dumbbell,Beginner
563,https://www.jefit.com/exercises/1103/Dumbbell-One-Arm-Front-Raise,https://www.jefit.com/images/exercises/b6.jpg,http://player.vimeo.com/external/160307066.sd.mp4?s=7cf3b7e2046f3c66a02d3ff1ecab24f104814986&profile_id=164&oauth2_token_id=435967617,Shoulders,,Strength,Isolation,Dumbbell,Beginner
564,https://www.jefit.com/exercises/1112/Dumbbell-One-Arm-Front-Raise-,https://www.jefit.com/images/exercises/b6.jpg,http://player.vimeo.com/external/160307077.hd.mp4?s=49e66a579dc7dab8679610647b588ff08556b35a&profile_id=119&oauth2_token_id=435967617,Shoulders,,Strength,Isolation,Bench,Beginner
565,https://www.jefit.com/exercises/1018/Dumbbell-One-Arm-Hammer-Preacher-Curl,https://www.jefit.com/images/exercises/b2.jpg,http://player.vimeo.com/external/160306892.sd.mp4?s=3bea35e58cfdddb9966bea93da38790e3bc95f64&profile_id=164&oauth2_token_id=435967617,Biceps,,Strength,Isolation,Machine - Strength,Beginner
566,https://www.jefit.com/exercises/717/Dumbbell-One-Arm-Hammer-Press,https://www.jefit.com/images/exercises/b3.jpg,http://player.vimeo.com/external/160429577.sd.mp4?s=7595e91d11183007a8caa627e508390d27c05c4c&profile_id=164&oauth2_token_id=435967617,Chest,,Strength,Isolation,Dumbbell,Intermediate
567,https://www.jefit.com/exercises/720/Dumbbell-One-Arm-Hammer-Press-on-Stability-Ball,https://www.jefit.com/images/exercises/b3.jpg,http://player.vimeo.com/external/160429579.sd.mp4?s=e82410828a3ad10bdc99e5b468644e35b710a996&profile_id=164&oauth2_token_id=435967617,Chest,,Strength,Isolation,Dumbbell,Intermediate
568,https://www.jefit.com/exercises/1114/Dumbbell-One-Arm-Hammer-Shoulder-Press,https://www.jefit.com/images/exercises/b6.jpg,http://player.vimeo.com/external/160307086.sd.mp4?s=2855ac5bc41ec66143570ee8fa3907f4a44f5264&profile_id=165&oauth2_token_id=435967617,Shoulders,,Strength,Compound,Dumbbell,Beginner
569,https://www.jefit.com/exercises/709/Dumbbell-One-Arm-Incline-Chest-Press,https://www.jefit.com/images/exercises/b3.jpg,http://player.vimeo.com/external/160304986.sd.mp4?s=eb2fe11dc0b1489e1b35211ee26c50c0e9fb0dda&profile_id=164&oauth2_token_id=435967617,Chest,,Strength,Isolation,Dumbbell,Intermediate
570,https://www.jefit.com/exercises/103/Dumbbell-One-Arm-Incline-Curl,https://www.jefit.com/images/exercises/b2.jpg,http://player.vimeo.com/external/160273657.hd.mp4?s=36c083b4f8fe6768bda20de3c41bcfcd6c2bae64&profile_id=113&oauth2_token_id=435967617,Biceps,,Strength,Isolation,Dumbbell,Beginner
571,https://www.jefit.com/exercises/428/Dumbbell-One-Arm-Incline-Lateral-Raise,https://www.jefit.com/images/exercises/b6.jpg,http://player.vimeo.com/external/160281220.sd.mp4?s=34dd7572f092a8663f573571e5ee76d9bbedd3d1&profile_id=165&oauth2_token_id=435967617,Shoulders,Traps,Strength,Isolation,Dumbbell,Beginner
572,https://www.jefit.com/exercises/437/Dumbbell-One-Arm-Lateral-Raise,https://www.jefit.com/images/exercises/b6.jpg,http://player.vimeo.com/external/160281296.sd.mp4?s=74ded02262552dfe6ca4621bfec5e2a2406d38dd&profile_id=165&oauth2_token_id=435967617,Shoulders,Traps,Strength,Isolation,Dumbbell,Beginner
573,https://www.jefit.com/exercises/645/Dumbbell-One-Arm-Lateral-Raise-on-Stability-Ball,https://www.jefit.com/images/exercises/b6.jpg,http://player.vimeo.com/external/160297405.sd.mp4?s=c2baf247044608f7253234ed5878d6e6f5ead3f9&profile_id=164&oauth2_token_id=435967617,Shoulders,,Strength,Isolation,Dumbbell,Intermediate
574,https://www.jefit.com/exercises/1078/Dumbbell-One-Arm-Neutral-Wrist-Curl-Over-Bench,https://www.jefit.com/images/exercises/b4.jpg,http://player.vimeo.com/external/160307034.sd.mp4?s=ce945fd65a86dc33fc6544d136bc6838de1731db&profile_id=164&oauth2_token_id=435967617,Forearm,,Strength,Isolation,Bench,Beginner
575,https://www.jefit.com/exercises/654/Dumbbell-One-Arm-Posterior-Fly-on-Stability-Ball,https://www.jefit.com/images/exercises/b6.jpg,http://player.vimeo.com/external/160297431.hd.mp4?s=ead59dd647be249d2f1ef46958dcb18184636be7&profile_id=119&oauth2_token_id=435967617,Shoulders,,Strength,Isolation,Dumbbell,Intermediate
576,https://www.jefit.com/exercises/109/Dumbbell-One-Arm-Preacher-Curl,https://www.jefit.com/images/exercises/b2.jpg,http://player.vimeo.com/external/160273661.sd.mp4?s=b40395a19681791fd9e94019af7d944af58053b3&profile_id=164&oauth2_token_id=435967617,Biceps,,Strength,Isolation,Dumbbell,Beginner
577,https://www.jefit.com/exercises/718/Dumbbell-One-Arm-Press-on-Stability-Ball,https://www.jefit.com/images/exercises/b3.jpg,,Chest,,Strength,Isolation,Dumbbell,Intermediate
578,https://www.jefit.com/exercises/238/Dumbbell-One-Arm-Pronated-Tricep-Extension,https://www.jefit.com/images/exercises/b7.jpg,http://player.vimeo.com/external/160280239.sd.mp4?s=ef9d74ffa17644bd59699a5a1b4b4b148c8dac3b&profile_id=164&oauth2_token_id=435967617,Triceps,,Strength,Isolation,Dumbbell,Intermediate
579,https://www.jefit.com/exercises/1022/Dumbbell-One-Arm-Prone-Curl,https://www.jefit.com/images/exercises/b2.jpg,http://player.vimeo.com/external/160306900.sd.mp4?s=c510ac9ac89f85b14db121bf75bbf54f4c0724ab&profile_id=164&oauth2_token_id=435967617,Biceps,,Strength,Isolation,Bench,Beginner
580,https://www.jefit.com/exercises/1021/Dumbbell-One-Arm-Prone-Hammer-Curl,https://www.jefit.com/images/exercises/b2.jpg,http://player.vimeo.com/external/160306938.sd.mp4?s=6986331a784601e6c81384d15a5bcd9cd4a3feca&profile_id=164&oauth2_token_id=435967617,Biceps,,Strength,Isolation,Bench,Beginner
581,https://www.jefit.com/exercises/697/Dumbbell-One-Arm-Pullover,https://www.jefit.com/images/exercises/b1.jpg,http://player.vimeo.com/external/160429571.sd.mp4?s=2042cfd9933d4e280a4fa86dc3a99ff33e69e014&profile_id=164&oauth2_token_id=435967617,Back,,Strength,Compound,Dumbbell,Intermediate
582,https://www.jefit.com/exercises/757/Dumbbell-One-Arm-Pullover-on-Satbility-Ball,https://www.jefit.com/images/exercises/b3.jpg,http://player.vimeo.com/external/160305113.sd.mp4?s=f63afb642fa94b199d7d38ef21291432935d6c23&profile_id=165&oauth2_token_id=435967617,Chest,,Strength,Compound,Dumbbell,Intermediate
583,https://www.jefit.com/exercises/1329/Dumbbell-One-Arm-Rear-Row,https://www.jefit.com/images/exercises/b1.jpg,http://player.vimeo.com/external/160307417.hd.mp4?s=684f1b922c237dca6ba48b71ad040ca6db0bc133&profile_id=113&oauth2_token_id=435967617,Back,,Strength,Isolation,Dumbbell,Beginner
584,https://www.jefit.com/exercises/1080/Dumbbell-One-Arm-Reverse-Bench-Wrist-Curl,https://www.jefit.com/images/exercises/b4.jpg,http://player.vimeo.com/external/160307045.hd.mp4?s=5a46dabdc3aaa5b15f1e54988d9a4afbc18b8881&profile_id=113&oauth2_token_id=435967617,Forearm,,Strength,Isolation,Bench,Beginner
585,https://www.jefit.com/exercises/1099/Dumbbell-One-Arm-Reverse-Curl,https://www.jefit.com/images/exercises/b4.jpg,http://player.vimeo.com/external/160307059.sd.mp4?s=8890dee5a85b3dc36b987078e466e5dd68eb08b6&profile_id=165&oauth2_token_id=435967617,Forearm,,Strength,Isolation,Dumbbell,Beginner
